Accused,Victim
A1,V1
A1,V2
A1,V3
A1,V4
A2,V5
A2,V6
A2,V7
A2,V8
A2,V9
A2,V10
A2,V11
A2,V12
A2,V13
A2,V14
A2,V15
A2,V16
A2,V17
A2,V18
A2,V19
A2,V20
A2,V21
A2,V22
A2,V23
A2,V24
A2,V25
A2,V26
A3,V27
A4,V24
A5,V19
A6,V28
A7,V29
A8,V30
A9,V31
A10,V32
A10,V33
A10,V34
A10,V35
A10,V36
A10,V37
A10,V38
A10,V39
A11,V31
A12,V40
A12,V41
A12,V42
A13,V42
A14,V42
A15,V43
A16,V44
A17,V45
A17,V46
A17,V47
A17,V48
A17,V49
A18,V50
A19,V51
A20,V51
A21,V52
A21,V53
A22,V54
A23,V55
A24,V56
A25,V56
A26,V57
A27,V58
A28,V59
A29,V60
A30,V61
A31,V62
A32,V63
A33,V8
A33,V10
A34,V64
A35,V63
A36,V65
A37,V66
A37,V67
A37,V65
A37,V68
A37,V69
A37,V70
A37,V71
A37,V72
A38,V73
A39,V22
A40,V74
A40,V75
A41,V76
A41,V75
A42,V30
A43,V77
A44,V78
A45,V79
A45,V80
A46,V81
A46,V82
A47,V83
A48,V84
A48,V24
A49,V85
A50,V86
A51,V87
A51,V88
A51,V89
A51,V90
A51,V91
A51,V92
A52,V93
A53,V94
A54,V95
A54,V96
A54,V97
A54,V94
A55,V79
A56,V98
A56,V99
A56,V100
A56,V101
A56,V102
A56,V103
A56,V34
A56,V104
A56,V105
A56,V106
A56,V107
A56,V108
A56,V109
A56,V110
A57,V50
A57,V104
A57,V108
A58,V50
A58,V108
A59,V110
A60,V111
A61,V112
A62,V113
A62,V114
A62,V115
A62,V116
A62,V117
A62,V64
A63,V118
A64,V119
A65,V120
A66,V36
A67,V12
A67,V15
A67,V16
A67,V20
A68,V121
A69,V35
A70,V35
A71,V73
A72,V122
A73,V28
A73,V43
A74,V123
A74,V122
A74,V124
A74,V125
A74,V90
A74,V91
A74,V110
A75,V126
A76,V95
A77,V98
A77,V127
A78,V128
A78,V129
A79,V130
A79,V131
A79,V132
A79,V133
A79,V134
A79,V135
A80,V78
A81,V39
A82,V136
A82,V39
A82,V57
A83,V137
A84,V138
A85,V139
A86,V140
A87,V141
A87,V142
A87,V143
A87,V144
A88,V126
A88,V145
A88,V146
A88,V147
A88,V148
A88,V149
A88,V75
A88,V72
A89,V150
A89,V146
A89,V148
A90,V20
A91,V46
A92,V151
A93,V3
A94,V152
A95,V95
A96,V92
A97,V28
A97,V43
A98,V153
A99,V154
A100,V155
A101,V155
A101,V70
A102,V156
A103,V157
A104,V158
A104,V159
A105,V160
A106,V161
A106,V58
A106,V157
A107,V162
A108,V163
A108,V164
A108,V165
A108,V166
A108,V167
A108,V168
A109,V165
A110,V169
A111,V169
A112,V170
A112,V171
A112,V90
A112,V172
A113,V80
A114,V28
A114,V95
A115,V173
A115,V174
A115,V175
A115,V176
A115,V177
A115,V178
A115,V179
A115,V180
A115,V181
A116,V88
A117,V182
A117,V183
A118,V184
A119,V184
A119,V185
A120,V186
A121,V65
A122,V187
A123,V188
A124,V189
A125,V190
A126,V191
A127,V192
A128,V193
A128,V194
A128,V195
A128,V196
A128,V110
A128,V197
A129,V193
A129,V198
A129,V199
A129,V200
A129,V186
A130,V36
A131,V201
A131,V189
A131,V202
A131,V203
A132,V182
A133,V204
A134,V204
A135,V205
A136,V206
A137,V207
A138,V208
A139,V38
A140,V158
A141,V209
A142,V210
A143,V130
A144,V211
A145,V62
A145,V152
A146,V212
A146,V213
A146,V214
A146,V62
A146,V152
A146,V215
A146,V216
A146,V217
A147,V218
A148,V219
A149,V153
A150,V187
A151,V172
A152,V220
A152,V189
A152,V139
A153,V221
A154,V39
A155,V222
A155,V223
A155,V224
A155,V199
A155,V200
A156,V56
A157,V152
A158,V225
A159,V101
A159,V207
A159,V226
A159,V227
A159,V228
A159,V229
A159,V230
A160,V207
A161,V147
A162,V231
A162,V39
A163,V86
A164,V232
A165,V111
A166,V116
A167,V233
A167,V39
A168,V234
A169,V235
A170,V161
A171,V102
A171,V236
A172,V237
A173,V238
A174,V222
A174,V223
A174,V239
A174,V240
A175,V228
A176,V151
A177,V56
A178,V43
A179,V241
A180,V165
A181,V242
A182,V215
A183,V243
A184,V232
A184,V72
A185,V43
A186,V22
A187,V216
A188,V244
A189,V245
A190,V246
A190,V247
A190,V126
A190,V248
A190,V249
A190,V250
A191,V57
A192,V251
A193,V252
A194,V253
A195,V60
A196,V60
A197,V254
A198,V212
A199,V255
A199,V256
A200,V72
A201,V257
A202,V245
A202,V218
A202,V140
A203,V258
A204,V259
A205,V98
A206,V225
A207,V260
A208,V155
A209,V261
A210,V225
A211,V14
A212,V238
A213,V262
A214,V263
A214,V27
A214,V264
A214,V265
A214,V266
A214,V238
A214,V267
A215,V268
A216,V264
A216,V268
A216,V267
A217,V269
A218,V270
A219,V153
A219,V270
A219,V271
A220,V119
A220,V272
A220,V273
A220,V274
A220,V275
A220,V276
A220,V277
A220,V278
A220,V279
A220,V280
A220,V281
A220,V282
A220,V283
A220,V284
A220,V285
A220,V286
A220,V287
A221,V288
A221,V81
A221,V289
A221,V290
A222,V291
A223,V6
A224,V39
A225,V32
A225,V292
A225,V39
A226,V293
A227,V294
A228,V295
A229,V296
A230,V225
A231,V297
A232,V297
A233,V116
A234,V97
A235,V97
A236,V298
A237,V299
A238,V300
A239,V78
A240,V301
A241,V302
A242,V303
A242,V138
A242,V304
A242,V305
A242,V284
A243,V173
A243,V306
A244,V155
A244,V75
A245,V307
A245,V308
A245,V309
A246,V112
A247,V310
A247,V232
A248,V311
A249,V204
A249,V312
A250,V43
A251,V298
A252,V225
A253,V313
A253,V314
A254,V271
A255,V138
A256,V161
A257,V315
A258,V316
A259,V317
A260,V152
A261,V318
A262,V114
A263,V319
A264,V263
A264,V282
A265,V320
A266,V321
A267,V322
A267,V323
A268,V324
A269,V146
A269,V240
A270,V206
A271,V325
A272,V47
A273,V326
A274,V46
A275,V111
A276,V225
A277,V327
A277,V296
A277,V328
A277,V329
A277,V330
A277,V331
A277,V47
A278,V95
A279,V166
A280,V332
A281,V63
A282,V33
A283,V333
A283,V251
A284,V101
A284,V229
A285,V36
A286,V24
A287,V24
A288,V334
A289,V36
A290,V225
A291,V335
A291,V334
A291,V336
A291,V337
A291,V77
A291,V46
A291,V338
A292,V339
A293,V340
A294,V248
A294,V257
A295,V175
A296,V341
A297,V341
A297,V107
A298,V341
A299,V30
A299,V77
A300,V26
A301,V255
A302,V50
A303,V104
A303,V107
A303,V108
A304,V78
A304,V314
A304,V342
A304,V23
A305,V313
A305,V14
A306,V43
A307,V181
A308,V343
A309,V17
A310,V344
A311,V161
A312,V345
A313,V169
A313,V346
A314,V343
A315,V347
A315,V348
A316,V71
A317,V217
A318,V293
A319,V82
A320,V11
A321,V301
A322,V332
A323,V349
A324,V300
A325,V350
A326,V67
A326,V65
A327,V269
A328,V69
A329,V248
A330,V136
A331,V258
A331,V39
A332,V39
A333,V351
A333,V352
A333,V117
A333,V353
A334,V241
A334,V322
A335,V40
A335,V151
A336,V40
A336,V354
A336,V322
A336,V355
A336,V356
A336,V357
A336,V46
A336,V358
A336,V4
A337,V67
A338,V14
A338,V25
A339,V161
A340,V161
A341,V359
A342,V360
A343,V300
A343,V111
A343,V361
A343,V39
A344,V362
A344,V363
A344,V315
A344,V364
A344,V365
A345,V366
A345,V367
A345,V340
A345,V368
A346,V95
A347,V52
A348,V68
A349,V290
A350,V369
A351,V370
A351,V129
A351,V321
A351,V371
A352,V372
A352,V302
A352,V373
A353,V374
A354,V375
A354,V376
A355,V162
A356,V79
A356,V187
A356,V377
A356,V14
A356,V80
A356,V23
A356,V378
A356,V379
A356,V162
A356,V380
A356,V206
A357,V266
A357,V381
A358,V217
A359,V279
A360,V24
A361,V14
A361,V19
A362,V220
A362,V115
A362,V319
A363,V61
A363,V382
A363,V109
A364,V152
A365,V43
A365,V383
A366,V36
A367,V251
A368,V87
A369,V211
A370,V384
A370,V211
A370,V385
A371,V386
A371,V387
A372,V301
A373,V388
A374,V33
A375,V282
A376,V60
A377,V88
A378,V263
A379,V389
A380,V390
A381,V391
A381,V86
A381,V158
A381,V392
A381,V393
A381,V394
A382,V391
A383,V392
A384,V83
A384,V154
A384,V343
A384,V269
A384,V262
A384,V353
A385,V372
A386,V161
A387,V236
A388,V395
A389,V181
A390,V396
A391,V206
A392,V277
A392,V397
A392,V398
A393,V397
A394,V399
A395,V400
A396,V401
A396,V93
A396,V402
A396,V188
A396,V110
A397,V153
A397,V403
A397,V188
A397,V332
A398,V138
A398,V304
A399,V232
A400,V46
A400,V404
A401,V24
A402,V405
A403,V406
A404,V407
A404,V408
A404,V189
A404,V55
A404,V169
A404,V51
A404,V409
A404,V73
A404,V405
A404,V406
